순서,컬럼영문명,컬럼한글명,데이터타입,길이,PK여부,NOT NULL여부
1,APPL_REALM_NM,지원분야명,VARCHAR,200,N,N
2,DETAIL_APPL_REALM_NM,상세지원분야명,VARCHAR,200,N,N
3,BSNS_NM,사업명,VARCHAR,200,N,N
4,AGENCY_NM,대행사명,VARCHAR,200,N,N
5,CMPNY_NM,회사명,VARCHAR,200,N,N
6,RPRSNTV_NM,대표자명,VARCHAR,200,N,N
7,BSNS_NO,사업자등록번호,VARCHAR,10,N,N
8,BZCND_NM,업태명,VARCHAR,200,N,N
9,INDUTY_NM,업종명,VARCHAR,200,N,N
10,REPRSNT_PRDLST_NM,대표품목명,VARCHAR,200,N,N
11,CMPNY_ADDR,회사주소,VARCHAR,500,N,N
12,CMPNY_HMPG_URL,회사홈페이지URL,VARCHAR,500,N,N
13,APPL_YEAR,지원년도,VARCHAR,4,N,N
